"","facet","rate","nthreads","cc_ph","cc","zipf","label","commute_ratio","phasing","timeout_scaling","throughput","op_timeouts"
"86","80% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <19>","0.8","off",1000,1295.54394372929,19
"87","80% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","0.8","off",1000,6346.62457163981,0
"88","80% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <1>","0.8","off",1000,6298.30081812461,1
"89","80% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <25>","0.8","off",1000,5775.0416742313,25
"90","80% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","0.8","on",1000,5591.37207110916,0
"91","80% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"64@100 <21>","0.8","on",1000,5933.45857586693,21
"92","80% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"96@100 <43>","0.8","on",1000,5842.54777738428,43
"93","80% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"16@100 <0>","0.8","on",1000,6343.94743240048,0
"94","80% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"64@100 <10>","0.8","on",1000,9953.5494830721,10
"95","80% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"96@100 <40>","0.8","on",1000,10075.4793218453,40
"96","100% update
zipf: 0.6",100,16,"r/w locks","r/w locks",0.6,"16@100 <0>","1","off",1000,2482.34871753959,0
"97","100% update
zipf: 0.6",100,64,"r/w locks","r/w locks",0.6,"64@100 <0>","1","off",1000,1423.34361811078,0
"98","100% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <15>","1","off",1000,1077.75162049727,15
"99","100% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","1","off",1000,6342.49668613907,0
"100","100% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <2>","1","off",1000,9447.69624289938,2
"101","100% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <42429>","1","off",1000,4334.8538694107,42429
"102","100% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","1","on",1000,5317.89367142553,0
"103","100% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"64@100 <12>","1","on",1000,5564.88781479867,12
"104","100% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"96@100 <49>","1","on",1000,5562.87564707311,49
"105","100% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"16@100 <0>","1","on",1000,6342.71440466278,0
"106","100% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"64@100 <2>","1","on",1000,9297.46822829127,2
"107","100% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"96@100 <25>","1","on",1000,4526.69359943527,25
"108","0% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0","off",1000,6344.90567294404,0
"109","0% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <0>","0","off",1000,17153.8653159512,0
"110","0% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <15>","0","off",1000,18212.8393505697,15
"111","0% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0","on",1000,6344.86341400061,0
"112","0% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <1>","0","on",1000,17278.708670309,1
"113","0% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <20>","0","on",1000,18243.7519693527,20
"114","20% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0.2","off",1000,6344.11001608676,0
"115","20% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <1>","0.2","off",1000,8543.07470263276,1
"116","20% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <8>","0.2","off",1000,8017.92038906803,8
"117","20% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0.2","on",1000,6342.09535988917,0
"118","20% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <8>","0.2","on",1000,13948.3235539262,8
"119","20% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <28>","0.2","on",1000,14361.0375579542,28
"120","40% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0.4","off",1000,6343.88161070697,0
"121","40% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <0>","0.4","off",1000,7194.02707971408,0
"122","40% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <16>","0.4","off",1000,6578.38305060142,16
"123","40% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0.4","on",1000,6343.53311042136,0
"124","40% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <7>","0.4","on",1000,12369.193576239,7
"125","40% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <37>","0.4","on",1000,12874.0127468754,37
"126","60% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0.6","off",1000,6346.93965904815,0
"127","60% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <0>","0.6","off",1000,6770.30002387458,0
"128","60% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <17>","0.6","off",1000,6490.66416743118,17
"129","60% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0.6","on",1000,6343.90339747304,0
"130","60% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <6>","0.6","on",1000,11375.6740244907,6
"131","60% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <39>","0.6","on",1000,11596.4465238958,39
"132","80% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0.8","off",1000,6343.25848122259,0
"133","80% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <1>","0.8","off",1000,7344.71442304505,1
"134","80% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <22>","0.8","off",1000,7030.6793038539,22
"135","80% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0.8","on",1000,6343.80421788054,0
"136","80% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <8>","0.8","on",1000,10706.972791374,8
"137","80% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <34>","0.8","on",1000,11055.5572109161,34
"138","100% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","1","off",1000,6342.15223936269,0
"139","100% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <1>","1","off",1000,10410.003255576,1
"140","100% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <36977>","1","off",1000,4604.63420293698,36977
"141","100% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","1","on",1000,6342.17336135321,0
"142","100% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <0>","1","on",1000,10474.6084795652,0
"143","100% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <22>","1","on",1000,4774.25899466602,22
"234","50% update
zipf: 0.6",100,4,"r/w locks","r/w locks",0.6,"4@100 <0>","0.5","off",1000,1584.07660501704,0
"235","50% update
zipf: 0.6",100,16,"r/w locks","r/w locks",0.6,"16@100 <0>","0.5","off",1000,4096.60113284485,0
"236","50% update
zipf: 0.6",100,32,"r/w locks","r/w locks",0.6,"32@100 <0>","0.5","off",1000,2946.22319752532,0
"237","50% update
zipf: 0.6",100,64,"r/w locks","r/w locks",0.6,"64@100 <1>","0.5","off",1000,2206.03374741404,1
"238","50% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <17>","0.5","off",1000,1746.96595077649,17
"239","50% update
zipf: 0.6",100,4,"boosting","boosting",0.6,"4@100 <0>","0.5","off",1000,1583.80478313309,0
"240","50% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","0.5","off",1000,6343.97967305047,0
"241","50% update
zipf: 0.6",100,32,"boosting","boosting",0.6,"32@100 <0>","0.5","off",1000,6811.83221079367,0
"242","50% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <1>","0.5","off",1000,5997.72471733095,1
"243","50% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <11>","0.5","off",1000,5441.18228679156,11
"244","50% update
zipf: 0.6",100,4,"r/w locks
 + phasing","r/w locks",0.6,"4@100 <0>","0.5","on",1000,1583.05789529801,0
"245","50% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","0.5","on",1000,6283.57185192091,0
"246","50% update
zipf: 0.6",100,32,"r/w locks
 + phasing","r/w locks",0.6,"32@100 <1>","0.5","on",1000,7330.56128910028,1
"247","50% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"64@100 <12>","0.5","on",1000,7470.27719282032,12
"248","50% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"96@100 <41>","0.5","on",1000,7481.38827723603,41
"249","50% update
zipf: 0.6",100,4,"boosting
 + phasing","boosting",0.6,"4@100 <0>","0.5","on",1000,1583.65040547474,0
"250","50% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"16@100 <0>","0.5","on",1000,6343.57536317798,0
"251","50% update
zipf: 0.6",100,32,"boosting
 + phasing","boosting",0.6,"32@100 <0>","0.5","on",1000,10745.1640705332,0
"252","50% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"64@100 <15>","0.5","on",1000,11281.3228099755,15
"253","50% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"96@100 <45>","0.5","on",1000,11336.2261861746,45
"254","50% update
zipf: 0.6",100,4,"boosting
 + combining","boosting
 + combining",0.6,"4@100 <0>","0.5","off",1000,1583.61874808428,0
"255","50% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"16@100 <0>","0.5","off",1000,6344.04949815847,0
"256","50% update
zipf: 0.6",100,32,"boosting
 + combining","boosting
 + combining",0.6,"32@100 <0>","0.5","off",1000,7621.17073203193,0
"257","50% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"64@100 <0>","0.5","off",1000,2474.91229144612,0
"258","50% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"96@100 <8>","0.5","off",1000,4400.57517064551,8
"259","50% update
zipf: 0.6",100,4,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"4@100 <0>","0.5","on",1000,1582.95241014433,0
"260","50% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"16@100 <0>","0.5","on",1000,6343.105877181,0
"261","50% update
zipf: 0.6",100,32,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"32@100 <0>","0.5","on",1000,11107.2435216953,0
"262","50% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"64@100 <10>","0.5","on",1000,11939.4064166506,10
"263","50% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"96@100 <31>","0.5","on",1000,12222.5425958884,31
"264","0% update
zipf: 0.6",100,16,"r/w locks","r/w locks",0.6,"16@100 <0>","0","off",1000,6346.22493530887,0
"265","0% update
zipf: 0.6",100,64,"r/w locks","r/w locks",0.6,"64@100 <0>","0","off",1000,15615.6311759919,0
"266","0% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <13>","0","off",1000,15569.9720735242,13
"267","0% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","0","off",1000,6345.16194554421,0
"268","0% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <0>","0","off",1000,15651.0763527899,0
"269","0% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <12>","0","off",1000,15548.6346736185,12
"270","0% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","0","on",1000,6345.29700497506,0
"271","0% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"64@100 <0>","0","on",1000,15654.1380856683,0
"272","0% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"96@100 <10>","0","on",1000,15502.1492252176,10
"273","0% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"16@100 <0>","0","on",1000,6346.03472735629,0
"274","0% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"64@100 <0>","0","on",1000,15446.5074567376,0
"275","0% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"96@100 <13>","0","on",1000,15491.163827416,13
"276","20% update
zipf: 0.6",100,16,"r/w locks","r/w locks",0.6,"16@100 <0>","0.2","off",1000,6344.39397370489,0
"277","20% update
zipf: 0.6",100,64,"r/w locks","r/w locks",0.6,"64@100 <1>","0.2","off",1000,4121.84031554257,1
"278","20% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <15>","0.2","off",1000,3634.04924112043,15
"279","20% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","0.2","off",1000,6343.74437983334,0
"280","20% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <0>","0.2","off",1000,7247.39737733805,0
"281","20% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <11>","0.2","off",1000,6706.97235662949,11
"282","20% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","0.2","on",1000,6344.19738450216,0
"283","20% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"64@100 <8>","0.2","on",1000,11007.5201863713,8
"284","20% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"96@100 <67>","0.2","on",1000,11018.6665620371,67
"285","20% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"16@100 <0>","0.2","on",1000,6343.35118429116,0
"286","20% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"64@100 <8>","0.2","on",1000,13188.1965123343,8
"287","20% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"96@100 <35>","0.2","on",1000,13181.6661090666,35
"288","40% update
zipf: 0.6",100,16,"r/w locks","r/w locks",0.6,"16@100 <0>","0.4","off",1000,6129.89054242605,0
"289","40% update
zipf: 0.6",100,64,"r/w locks","r/w locks",0.6,"64@100 <0>","0.4","off",1000,2602.79347143754,0
"290","40% update
zipf: 0.6",100,96,"r/w locks","r/w locks",0.6,"96@100 <11>","0.4","off",1000,2222.33740653873,11
"291","40% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"16@100 <0>","0.4","off",1000,6344.74490475556,0
"292","40% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"64@100 <1>","0.4","off",1000,6170.44128873628,1
"293","40% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"96@100 <13>","0.4","off",1000,5504.77662495684,13
"294","40% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"16@100 <0>","0.4","on",1000,6340.27759277513,0
