"","name","nclients","nthreads","cc","rate","scale","mix","alpha","phasing","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms"
"588","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3812.54556299291,0,4.85788535917605
"589","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,3487.19693803553,10,7.60372710822257
"594","v0.27.4-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,15832.0676286023,0,1.59794918402854
"595","v0.27.4-sampa","2",32,"boosting",50,"16","read_heavy","-1","off","boosting",1000,12070.001714749,0,2.80564406008193
"596","v0.27.4-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,9201.71151987084,31,4.66314546787057
"597","v0.27.4-sampa","2",32,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,14499.5689239076,170,2.40631521432195
"598","v0.27.4-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,6200.96920524182,0,6.22815082507374
"599","v0.27.4-sampa","2",32,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,2882.68222884599,0,14.304055758076
"600","v0.27.4-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,845.70403305547,137,72.9183120402633
"601","v0.27.4-sampa","2",32,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,4419.0728704518,6,13.1058809447217
"604","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,13373.581389157,0,2.57179545884391
"605","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,14492.2268659103,141,2.42382376537605
"606","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3568.11976012804,0,10.8504152596514
"607","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,4714.82927442042,20,12.2238737949167
"612","v0.27.4-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,18449.9374800468,0,5.88090779149851
"613","v0.27.4-sampa","2",64,"boosting",50,"16","read_heavy","-1","off","boosting",1000,13991.2704096129,0,6.86918107543226
"614","v0.27.4-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,8432.93705014331,179,13.1129066303914
"615","v0.27.4-sampa","2",64,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,16084.1667455647,16,6.87596041043605
"616","v0.27.4-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,6458.00220478141,0,12.1626097457821
"617","v0.27.4-sampa","2",64,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,3011.2643845948,0,25.9244417154122
"618","v0.27.4-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,939.400273639404,147,130.706988975422
"619","v0.27.4-sampa","2",64,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,5429.98252608583,1,21.8845308135734
"622","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,12398.3079723093,0,7.67299695148927
"623","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,16730.3843787979,10,6.58320929024893
"624","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,7042.57323407429,49,10.7017657932136
"625","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,6122.8905876182,5,19.6081896158164
"630","v0.27.4-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,1851.11629456848,0,1.42385692684332
"631","v0.27.4-sampa","2",4,"boosting",50,"16","read_heavy","-1","off","boosting",1000,1857.58173506244,0,1.42510897056449
"632","v0.27.4-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,1809.15675659463,4,1.47818302387268
"633","v0.27.4-sampa","2",4,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,1847.70890161582,12,1.41240012264849
"634","v0.27.4-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1409.52691701987,0,2.67499704736034
"635","v0.27.4-sampa","2",4,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,1554.92846506347,0,2.6874708994709
"636","v0.27.4-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,801.910181533803,14,7.86977632070382
"637","v0.27.4-sampa","2",4,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,1151.31180684206,16,4.88443919444524
"640","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,1852.67274447436,0,1.4005654078116
"641","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,1855.91067820251,0,1.39138490789403
"642","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,1535.15425739819,0,2.71853018599232
"643","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,1199.64608879984,6,4.64562461947197
"648","v0.27.4-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,3845.60424095358,0,1.28508198283254
"649","v0.27.4-sampa","2",8,"boosting",50,"16","read_heavy","-1","off","boosting",1000,3898.79487622873,0,1.30219288145134
"650","v0.27.4-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,3570.37431907911,20,1.65709246661628
"651","v0.27.4-sampa","2",8,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,3715.03764408022,51,1.53787729335175
"652","v0.27.4-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,2848.91483450249,0,2.47402271480431
"653","v0.27.4-sampa","2",8,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,2831.74803254082,0,2.88369178146378
"654","v0.27.4-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,876.801359598095,16,16.1870528109029
"655","v0.27.4-sampa","2",8,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,2121.22976689399,9,5.76983168363425
"658","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,3885.46585713215,0,1.2804228721352
"659","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,3785.68382333342,28,1.4471053141117
"660","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,2880.35646253996,0,2.91249640577376
"661","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,2296.56852954101,0,5.18532208500029
"666","v0.27.4-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,8042.90169527668,1,1.12295455486971
"667","v0.27.4-sampa","2",16,"boosting",50,"16","read_heavy","-1","off","boosting",1000,8088.82817445773,0,1.23996375169914
"668","v0.27.4-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,5988.31698519122,50,2.72528441221476
"669","v0.27.4-sampa","2",16,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,7838.20033022381,80,1.43319134101962
"670","v0.27.4-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,5221.51038247017,0,3.08682674660079
"671","v0.27.4-sampa","2",16,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,5960.1909143794,0,2.71620767294063
"672","v0.27.4-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,1113.95766848828,61,26.5299789984323
"673","v0.27.4-sampa","2",16,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,3246.28567353728,0,8.24693489721689
"676","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,8009.63985450282,0,1.24029460323797
"677","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,7561.82854982515,114,1.64046417184533
"678","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3862.73543501239,0,4.72989621636482
"679","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,3313.1042316023,13,8.07407665783022
"684","v0.27.4-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,15110.8543342746,0,1.79988540828807
"685","v0.27.4-sampa","2",32,"boosting",50,"16","read_heavy","-1","off","boosting",1000,14442.7213381817,0,2.31176979412952
"686","v0.27.4-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,8341.14774803782,94,5.36490439142806
"687","v0.27.4-sampa","2",32,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,14176.6161449643,128,2.60744649111885
"688","v0.27.4-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,6255.78020606507,0,6.03670315518352
"689","v0.27.4-sampa","2",32,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,3234.76980758836,0,11.1309312176837
"690","v0.27.4-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,852.90082487398,89,69.9927460012332
"691","v0.27.4-sampa","2",32,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,4726.73001408634,0,12.101053656501
"694","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,12726.370379746,0,2.50405412479062
"695","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,13314.6860580612,300,2.85735314664378
"696","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3839.98388212815,0,9.80406492177219
"697","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,4809.48343407659,8,11.7079469578366
"702","v0.27.4-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,18131.6869564065,0,6.00668945223256
"703","v0.27.4-sampa","2",64,"boosting",50,"16","read_heavy","-1","off","boosting",1000,12962.0892923434,0,7.33564164935002
"704","v0.27.4-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,7884.50560147833,69,14.2158569658821
"705","v0.27.4-sampa","2",64,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,16744.3733086925,2,6.45801635040639
"706","v0.27.4-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,6525.34435890993,0,11.9753253118092
"707","v0.27.4-sampa","2",64,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,2870.36357916938,0,26.2852340609172
"708","v0.27.4-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,851.272759525107,228,144.461933467292
"709","v0.27.4-sampa","2",64,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,5362.66361160965,5,22.3066401994723
"712","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,13853.2287461602,0,6.8939834915788
"713","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,16231.6327871907,11,6.81843436259003
"714","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3192.33245258973,9,24.6965856261738
"715","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,6305.99593327933,0,19.1667715280399
